Palm Normal x,Palm Normal y,Palm Normal z,Palm Direction x,Palm Direction y,Palm Direction z,Palm Center x,Palm Center y,Palm Center z,Palm Velocity x,Palm Velocity y,Palm Velocity z,Thumb Deviation 1,Thumb Deviation 2,Thumb Deviation 3,Thumb Joint Angle 1,Thumb Joint Angle 2,Index Deviation 1,Index Deviation 2,Index Deviation 3,Index Joint Angle 1,Index Joint Angle 2,Middle Deviation 1,Middle Deviation 2,Middle Deviation 3,Middle Joint Angle 1,Middle Joint Angle 2,Ring Deviation 1,Ring Deviation 2,Ring Deviation 3,Ring Joint Angle 1,Ring Joint Angle 2,Pinky Deviation 1,Pinky Deviation 2,Pinky Deviation 3,Pinky Joint Angle 1,Pinky Joint Angle 2,Time Stamp
-15.663971900939941,257.8636779785156,15.667611122131348,0.5910670161247253,0.3866688013076782,-0.707903265953064,-0.30052897334098816,-0.7088615894317627,-0.6381202936172485,31.601099014282227,7.431262969970703,-42.22258758544922,0.653647408797265,0.7150074367093593,0.9112596303721667,0.6674787184555557,0.6771617613507657,0.9940122672891128,0.5498978062402722,0.7173551340581545,0.9991408129679964,0.6539681545494058,0.9957802351668121,0.559939783204796,0.6928025509137334,0.9946397549430177,0.6152852957093313,0.999667996902579,0.5646829623681991,0.682980504878488,0.9999937434369457,0.6561601304459415,0.704527299642918,0.7045269084552993,0.6815364789270211,0.540302239722304,0.5444991409512554,798785143838
-15.466504096984863,257.8699951171875,15.26430606842041,0.5901855230331421,0.3868003487586975,-0.7085665464401245,-0.30627909302711487,-0.7048181891441345,-0.6398628354072571,23.041818618774414,0.7389907240867615,-47.06010437011719,0.6525985949420163,0.7154692997325866,0.9112612436109672,0.6702887078376257,0.6753877708097198,0.9937879653773147,0.5502229054191008,0.7202586430600798,0.999116755445259,0.6554953226010684,0.995673117954719,0.5606474122426419,0.6952106995094152,0.9943137041894563,0.6157432577068794,0.999599743498619,0.5646723577806814,0.683843333623794,0.9999999893725423,0.6548412262676135,0.7092689303569766,0.7092689215286037,0.6856027093321226,0.5403021963133383,0.5444992800845779,798785152408
-15.354646682739258,257.54266357421875,14.76776123046875,0.5875639319419861,0.38670262694358826,-0.7107951045036316,-0.3090100586414337,-0.7046122550964355,-0.638775646686554,12.808588981628418,-37.48203659057617,-56.85847091674805,0.6510500880719559,0.717931710737182,0.9143620787280093,0.673622855551352,0.6747391025981776,0.9938239598251892,0.549965182788808,0.7217162436176551,0.9991810439846457,0.657525064760744,0.9956408075993222,0.561211415188699,0.6971225066604511,0.9939610654672081,0.6160535644328056,0.9996131161702216,0.5647192020869852,0.6837532145419282,0.9999944007147715,0.653584536178923,0.7099583258678498,0.7099584653251635,0.6865988362103616,0.5403023058083604,0.5444991723554914,798785161141
-15.413517951965332,256.755615234375,14.190475463867188,0.5824459195137024,0.3826823830604553,-0.7171547412872314,-0.3153439164161682,-0.7067829966545105,-0.6332582831382751,-6.843136310577393,-91.48822021484375,-67.10285186767578,0.6502031010751788,0.7190983870460952,0.9139108041551549,0.675341470838352,0.6718288519113191,0.9941835859149072,0.5493388597257027,0.7240688890692032,0.9992505599356095,0.6616071087309285,0.9959432181965187,0.5608292526029688,0.6996971651606202,0.9937877497025989,0.6187071553312405,0.9997204767117558,0.5642354410021283,0.6834192591957812,0.999967617192022,0.6534751893694178,0.709755974319962,0.709756248629354,0.6866092898506746,0.5403023227960482,0.5444994894310043,798785169744
-15.601305961608887,255.78269958496094,13.6807279586792,0.574577808380127,0.382498174905777,-0.7235713601112366,-0.318361759185791,-0.7099989056587219,-0.6281300187110901,-21.612144470214844,-111.96908569335938,-58.6658935546875,0.6490804273233527,0.7218275148124175,0.9159698616326102,0.6754438465591356,0.6702930676082506,0.9947012353901773,0.5481254462304112,0.7258712775933884,0.9994658360851861,0.6675742523395829,0.9962048383328178,0.5599928173403244,0.7049991704435884,0.9941255923684015,0.6249149102633309,0.9998036567983252,0.5640569938219662,0.6813193268997108,0.9999454486518283,0.6520590567835877,0.7120198855947305,0.712019924338449,0.6887865245686716,0.5403022827604452,0.5444993910014662,798785178433
-15.96141529083252,254.91827392578125,13.144634246826172,0.562976062297821,0.3846946060657501,-0.7314834594726562,-0.3125339150428772,-0.7202500104904175,-0.6193242073059082,-41.51591110229492,-99.6569595336914,-61.804603576660156,0.6479368758301499,0.7253448739721761,0.9190632999188292,0.6738558811621509,0.6693282827986807,0.9951438948721348,0.5467310921566321,0.7238396351591405,0.9997282948353811,0.6712810865988922,0.9965047146234565,0.5584738696485448,0.7034061676077518,0.9948907302682202,0.6273188985075547,0.9998445964167945,0.5640474788092023,0.6759370926347595,0.9999668044075072,0.6482807180088207,0.7142802906835916,0.714280263625405,0.6908816802382327,0.5403023141753555,0.5444994162987901,798785187107
-16.58223533630371,254.09080505371094,12.462594985961914,0.5447752475738525,0.3821762204170227,-0.746432363986969,-0.3032580614089966,-0.740085780620575,-0.6002562642097473,-71.70489501953125,-95.57318878173828,-78.77560424804688,0.645310605384427,0.7302904962939076,0.9225182457554763,0.6728117757893227,0.6660300847849385,0.9959506071679355,0.5450682312871912,0.7174878117328268,0.9999172341651135,0.6731569047387118,0.9969080071020298,0.5570258962607405,0.6943841217516518,0.9954684742228949,0.6236609350917987,0.9998744529520711,0.5642469533656418,0.6687445174073808,0.9999973765842448,0.6435892472788314,0.7134873589040271,0.7134876550793511,0.6903504403258469,0.5403023749193603,0.5444995029234487,798785195765
-17.268423080444336,253.68310546875,11.457663536071777,0.5236349105834961,0.3895353674888611,-0.7576732039451599,-0.30430886149406433,-0.7451571822166443,-0.5934112668037415,-78.37657165527344,-46.56789779663086,-114.78370666503906,0.6418787967821524,0.7347624970609911,0.9273963874945618,0.6782535131877043,0.6645639423746348,0.9947852814822244,0.5444742480545729,0.7102275533650808,0.9997622748011757,0.6748799012789612,0.9947973043911882,0.5533004381146958,0.6723169620524821,0.9990358537932118,0.615055877098727,0.9995357940392912,0.5632836322732019,0.6622811974653146,0.9999972203936669,0.6325216453960176,0.7534303724336213,0.7534301631511328,0.7253403889063602,0.540302344320588,0.5444993898779896,798785204520
-18.232162475585938,253.03684997558594,10.182012557983398,0.49773067235946655,0.3876449763774872,-0.7758837342262268,-0.31775498390197754,-0.7508694529533386,-0.5789877772331238,-109.18092346191406,-73.21317291259766,-144.51699829101562,0.6384581029441513,0.7420890457566595,0.9412226907663164,0.6814334658167852,0.673012684551963,0.9936822437845992,0.5445363941295178,0.7141139118288594,0.9988952153759977,0.6840898070514287,0.9932435743610687,0.5508292703307764,0.6638617625154702,0.9999855506050258,0.6158713639698546,0.9993221213794719,0.562096042439997,0.6551972982850867,0.9999816475580541,0.6231470974699443,0.7969615313208773,0.7969614599597261,0.8990114363243293,0.5403025341016878,0.9982791885140065,798785213347
-19.788625717163086,251.5600128173828,9.031176567077637,0.4589519500732422,0.3916393518447876,-0.7974846363067627,-0.31589409708976746,-0.7670183777809143,-0.5584744811058044,-184.52432250976562,-175.08566284179688,-136.435791015625,0.6322528472038573,0.7464107776638773,0.9537251582725146,0.6865173735669355,0.6834020645369031,0.9928730002751089,0.5447429713960907,0.7178633789752414,0.9971698314730378,0.6959326764796364,0.9924174288899694,0.5488329187250842,0.6552408912578171,0.9999139464689919,0.6129590526712995,0.9992707864660568,0.5599127123774866,0.6505107912274415,0.9998752497663698,0.6168288494780083,0.7924586507841882,0.7924586925233627,0.9732632808799662,0.5403021903235449,0.9963447665927964,798785221782
