Palm Center x,Palm Center y,Palm Center z,Palm Direction x,Palm Direction y,Palm Direction z,Palm Normal x,Palm Normal y,Palm Normal z,Palm Velocity x,Palm Velocity y,Palm Velocity z,Thumb Deviation 1,Thumb Deviation 2,Thumb Deviation 3,Thumb Joint Angle 1,Thumb Joint Angle 2,Index Deviation 1,Index Deviation 2,Index Deviation 3,Index Joint Angle 1,Index Joint Angle 2,Index Angle from Prev,Middle Deviation 1,Middle Deviation 2,Middle Deviation 3,Middle Joint Angle 1,Middle Joint Angle 2,Middle Angle from Prev,Ring Deviation 1,Ring Deviation 2,Ring Deviation 3,Ring Joint Angle 1,Ring Joint Angle 2,Ring Angle from Prev,Pinky Deviation 1,Pinky Deviation 2,Pinky Deviation 3,Pinky Joint Angle 1,Pinky Joint Angle 2,Pinky Angle from Prev,Time Stamp
-125.57860565185547,274.7640380859375,91.8121337890625,0.18459312617778778,0.09387485682964325,-0.9783214926719666,0.04435739666223526,-0.995209276676178,-0.08712581545114517,64.28341674804688,20.845685958862305,-38.04009246826172,0.6156673853450915,0.6974692773963562,0.8871852141949396,0.6018873822029998,0.6432812656584215,0.5498741515967309,0.5712696777059688,0.59683619576935,0.5466511025450284,0.5444366055907055,0.5734433548094878,0.9845989757567156,0.5884051942483177,0.5585530386049112,0.9863177407469079,0.6589809167383359,0.9503787025785604,0.9879503393154754,0.599957632382126,0.5883892011867549,0.9869587432082683,0.6756852091180451,0.540669296613926,0.9627989838402919,0.6543270295509274,0.606187816888477,0.9946092919723414,0.6640695152169254,0.5510164614096523,185848741241
-125.06737518310547,275.0514831542969,91.50946807861328,0.18311557173728943,0.09309286624193192,-0.9786738157272339,0.062105268239974976,-0.9946134090423584,-0.08298880606889725,61.56455612182617,34.618255615234375,-36.44820022583008,0.6150198032673736,0.6973738862718982,0.8877533010574344,0.6016347525484126,0.6434422699249291,0.5500211798275056,0.571562536832995,0.5975222622694685,0.5466750447984196,0.5445237619982672,0.5726380958134151,0.9849840485393679,0.588713500851847,0.5583454240054464,0.9857630037166365,0.6589458817723355,0.950540569425933,0.9882921613312519,0.6002943011385419,0.5877907463132424,0.9862875053520804,0.6755178641613427,0.5406748358076231,0.9634037641695675,0.6548138610793766,0.6060801821883314,0.994229262658857,0.6635578265595123,0.5509425426864009,185848749545
-124.5922622680664,275.365966796875,91.22237396240234,0.18309365212917328,0.0958344116806984,-0.9784132242202759,0.06474132090806961,-0.9942522048950195,-0.08527056872844696,54.485469818115234,36.062862396240234,-32.9232063293457,0.6145696790692389,0.6957084515403563,0.8870746040452715,0.6008820293731876,0.6445260469960944,0.5500532673227427,0.5713403007567184,0.5970500556460446,0.5465519015425413,0.544473883970708,0.5722864592199559,0.9856720711727909,0.587752293269832,0.5591592946010497,0.9856748303762556,0.659384691944305,0.9516218519625609,0.9888222364002214,0.5996558786433726,0.5881602734879152,0.9859844468681899,0.6758603497922787,0.5406848599802722,0.9642625412059839,0.6539447606490925,0.6060033097120748,0.9940612887851126,0.6634520677654296,0.550988878436614,185848758265
-124.07008361816406,275.5677185058594,90.9368667602539,0.1835748851299286,0.10089871287345886,-0.977813720703125,0.06467452645301819,-0.9938027262687683,-0.09040658175945282,60.68246078491211,23.447193145751953,-33.179683685302734,0.6140053726929297,0.6930326751089371,0.8834387321945381,0.5995098738889727,0.643737161175675,0.5502094038997294,0.5716306712604383,0.5973307200821434,0.5465605852645223,0.5444455353424206,0.5716682634233134,0.9864425268667325,0.5871568880336874,0.5598656806973095,0.9852606961957772,0.660079559982302,0.9526506643169018,0.9895250177086917,0.5992481399707948,0.5888542840130561,0.9853512112569025,0.6769521116154424,0.5407053863158866,0.9654132457632413,0.6535517343609144,0.6061633770652538,0.9935850941786919,0.6644606300661426,0.5510064268254901,185848766870
-123.60391998291016,275.7583923339844,90.71324157714844,0.18407830595970154,0.10670045763254166,-0.9771029353141785,0.05840391665697098,-0.9935212731361389,-0.09749052673578262,53.447322845458984,21.85883140563965,-25.638710021972656,0.6137765282192178,0.6904864478103895,0.8784767376445864,0.5981895675927694,0.6417596089109441,0.5500712956401419,0.5713500529170542,0.5965744728560541,0.5465341455076065,0.5443340767122683,0.5718942050434835,0.9869519721933511,0.5873056813009571,0.5601206188790605,0.9846258399159518,0.6608620474477508,0.9540478584452823,0.9901362322331777,0.5990989366056134,0.5894604902351718,0.9846554359928205,0.6780780940120058,0.5407456444248974,0.9663789449016813,0.6533581468910352,0.6062979734889077,0.9930911769868502,0.6656589782942854,0.5510729524567152,185848775592
-123.11016845703125,275.8298645019531,90.38399505615234,0.18512926995754242,0.1072956994175911,-0.9768391847610474,0.060356639325618744,-0.9933865070343018,-0.09767454117536545,56.390159606933594,8.162545204162598,-37.60321044921875,0.613427761836899,0.6888987085161022,0.8748341290349678,0.5969607505193458,0.6397709515611749,0.5499675262030868,0.5710390871164112,0.5960162560539661,0.5464709667403153,0.5442911145459394,0.5718999608307305,0.987137457857917,0.5885208644227522,0.5598247347351006,0.983636068800336,0.6619968931214395,0.954708884720912,0.9905742976061889,0.599793428501446,0.5898248589137914,0.9835849160375428,0.6799871893406443,0.5407901305350991,0.9670791593158214,0.6541370351748241,0.6063746052585719,0.9923318491712744,0.6676102294024863,0.5510757570524287,185848784348
-122.67404174804688,275.7550048828125,90.11891174316406,0.18534812331199646,0.10666630417108536,-0.976866602897644,0.06748715043067932,-0.9931259155273438,-0.09563685953617096,50.90752410888672,-8.738373756408691,-30.941757202148438,0.6134378878302763,0.6876594658765359,0.8708637077526676,0.5955509906866823,0.6372713336684985,0.5503031361080082,0.5717262249948282,0.597394959926277,0.5465559089694935,0.5444336921949027,0.5711431264330655,0.9868280313412612,0.5888789882245126,0.5598919067455973,0.9837398520533084,0.6627209888686324,0.9530989267780079,0.9906883061730954,0.5988175448702383,0.5906079628789979,0.9839397785373932,0.6807373374630626,0.5408467713268774,0.9670085330807762,0.6524824601217202,0.6059826212120559,0.992704566012853,0.6679538772359723,0.5512645277468043,185848792915
-122.28410339355469,275.9378662109375,89.827880859375,0.18834325671195984,0.1048082709312439,-0.9764947891235352,0.0600518062710762,-0.9936578273773193,-0.09506779909133911,44.959869384765625,21.084035873413086,-33.55606460571289,0.6131836510086485,0.6858532654094817,0.8667743001180731,0.5946509735810487,0.6354115327885852,0.5507548247282867,0.5732449846790236,0.5995561479670615,0.5468928045478216,0.5444822929409219,0.5702419037834835,0.9867524961705205,0.5895073150330532,0.5598701680126625,0.983419059172727,0.6635751203137672,0.9519418660144763,0.9910739253609465,0.5984660898907719,0.5921891691768899,0.9836723564566577,0.6830755939805809,0.5409237969271617,0.9677374011728146,0.6516843115522496,0.6062561202149659,0.9924499194889191,0.6697977197964177,0.5512864314270213,185848801588
-121.849609375,275.93817138671875,89.51863098144531,0.19251684844493866,0.1024005115032196,-0.9759361743927002,0.049072593450546265,-0.9943006634712219,-0.09464716911315918,49.873592376708984,0.03617317974567413,-35.497501373291016,0.6132537224216973,0.6847955168207228,0.8646766548676647,0.5939942176440107,0.6347827137893306,0.5514563604577131,0.5752119095241074,0.6022047131725502,0.5472443793644914,0.544508899600176,0.5691764929351274,0.9869836054809923,0.5888681631196327,0.5606615477188829,0.9835790462377103,0.6643846812026127,0.9508080376515441,0.9916139628675166,0.5974724221165234,0.5948108444983046,0.9837200265230396,0.6857630008392842,0.5409952975318967,0.9687192715437234,0.6506109777782658,0.6071773129882482,0.9923098855581522,0.6717743639348543,0.5513432520227238,185848810300
-121.37923431396484,275.81011962890625,89.1742172241211,0.19583988189697266,0.09990517795085907,-0.9755335450172424,0.03581099212169647,-0.9948619604110718,-0.09469550848007202,54.35269546508789,-14.796822547912598,-39.79813766479492,0.6133487757411611,0.6838652123966129,0.8625088948707098,0.5933655989775997,0.6339508421952944,0.5517719698486294,0.5762554523290072,0.6037119180696096,0.5474784283429812,0.5445537316025381,0.568774646434011,0.9871525351545641,0.5883740685873388,0.5613554360245104,0.9837136800307619,0.6651640337746219,0.9504253936432514,0.9920263801675487,0.596809823700839,0.5970343123822006,0.9836850059641112,0.6882336344142406,0.5410568353799556,0.969474519420277,0.6498792753552222,0.607970092692025,0.9921223006935264,0.6738768856237886,0.5514063100053591,185848818954
-120.92901611328125,275.7794494628906,88.91769409179688,0.19856426119804382,0.0989719033241272,-0.9750778675079346,0.025259077548980713,-0.9950745105743408,-0.09585785120725632,52.012996673583984,-3.543938398361206,-29.63506507873535,0.6132679893742781,0.6818048294743684,0.8587433781419714,0.5922698412242569,0.6329719851593907,0.5522216390445314,0.5779581314701917,0.6063823051470852,0.5479105195089664,0.5446850926157957,0.5680637057331412,0.9874665960716349,0.5871210441320013,0.5624508787288829,0.9841793328055295,0.6656377935308962,0.9499994839738956,0.9924997980733699,0.59553000860844,0.5995336570115345,0.9839636719415672,0.6901771158978824,0.5411160523875912,0.9703600952989577,0.6483984824989579,0.6088030436922034,0.99212378826493,0.675542253320322,0.5514847708614534,185848827610
-120.49903869628906,275.7830810546875,88.6571044921875,0.20119211077690125,0.09873256087303162,-0.9745633006095886,0.013763169758021832,-0.9950940608978271,-0.09797120839357376,49.39362716674805,0.41904813051223755,-29.935836791992188,0.6134667380046475,0.6797993427687076,0.8548978098639914,0.5909325688557375,0.6320687646970576,0.552911835928928,0.5806941083462116,0.6107139848940152,0.5486354086155354,0.5449114716672349,0.5671931049595238,0.9877852123864829,0.5855210852481226,0.5638939854922138,0.9848677336227187,0.6662048150740953,0.9490887577337508,0.9929406879474758,0.5939799874856203,0.6024657914125041,0.9844756212536014,0.6922438698150638,0.541170758067226,0.971167324815598,0.6466779969821117,0.6100033886285187,0.9922973064661798,0.677495377297111,0.5515732741760309,185848836315
-119.99583435058594,275.7969055175781,88.3765869140625,0.2041129767894745,0.09770829230546951,-0.9740590453147888,0.002867412520572543,-0.9950619339942932,-0.09921424835920334,57.81345748901367,1.5889724493026733,-32.22815704345703,0.6139264329522418,0.6785659317563869,0.8520834911989983,0.5896401620505464,0.6313054332818473,0.5536174090728871,0.583613817364267,0.6155163755173578,0.5494393049389428,0.5452067162298481,0.566511002920122,0.9879286961080973,0.5844514393104188,0.5649769712547813,0.9854051397978763,0.666742972065095,0.9478986876785954,0.9932882581122808,0.5926805794548593,0.6054131166041997,0.9849640681227095,0.6944915251972319,0.5412408397415329,0.9717853919039431,0.6452185693338541,0.6113247334855554,0.9924951969878755,0.6796548911383717,0.5516628007238824,185848845019
