Palm Center x,Palm Center y,Palm Center z,Palm Direction x,Palm Direction y,Palm Direction z,Palm Normal x,Palm Normal y,Palm Normal z,Palm Velocity x,Palm Velocity y,Palm Velocity z,Thumb Deviation 1,Thumb Deviation 2,Thumb Deviation 3,Thumb Joint Angle 1,Thumb Joint Angle 2,Index Deviation 1,Index Deviation 2,Index Deviation 3,Index Joint Angle 1,Index Joint Angle 2,Index Angle from Prev,Middle Deviation 1,Middle Deviation 2,Middle Deviation 3,Middle Joint Angle 1,Middle Joint Angle 2,Middle Angle from Prev,Ring Deviation 1,Ring Deviation 2,Ring Deviation 3,Ring Joint Angle 1,Ring Joint Angle 2,Ring Angle from Prev,Pinky Deviation 1,Pinky Deviation 2,Pinky Deviation 3,Pinky Joint Angle 1,Pinky Joint Angle 2,Pinky Angle from Prev,Time Stamp
-103.41280364990234,173.90286254882812,65.4763412475586,0.07405510544776917,0.15511269867420197,-0.9851171970367432,-0.10238802433013916,-0.9814268350601196,-0.162228524684906,-51.487876892089844,5.938856601715088,17.733230590820312,0.7537236462656516,0.7529318166556468,0.8588641229551375,0.5403039586692063,0.5703635659629307,0.989252970550815,0.5844169869965604,0.5658313403534971,0.9852292290518598,0.6614034960579757,0.999652451470944,0.9957978273854009,0.5716909627752319,0.5959246880482812,0.983373087145229,0.6974214059099606,0.5563378467530472,0.9898936084566424,0.5817791386404939,0.5973475009496428,0.9917755679743162,0.6834498897024431,0.5423353600032997,0.7049697959410534,0.7076417255922949,0.7065520033880974,0.5452695924764328,0.5403918347245996,0.8846510514751779,59337306072,Left hand
-103.72162628173828,173.84652709960938,65.62767028808594,0.07013068348169327,0.15684029459953308,-0.9851308465003967,-0.10267602652311325,-0.9811822175979614,-0.16352105140686035,-35.760009765625,-6.524242877960205,17.52264976501465,0.7542271186507815,0.754649131989333,0.8611200912925698,0.5403028723925722,0.5706915452662896,0.9891605261455092,0.5839063118097843,0.5657934137823255,0.9857518375975843,0.6601027036829527,0.9996851752191551,0.9956879843753631,0.5713253942519001,0.5958143749516719,0.9838954699210738,0.6964706781128204,0.5562694014470346,0.9897003430892002,0.5816707697065868,0.5978306624398577,0.992005566844778,0.6840421026760574,0.5423162584760284,0.7049100116542287,0.7084731480856918,0.7064690771830625,0.545389587558749,0.5404944494234204,0.8816701514903824,59337314708,Left hand
-103.96601104736328,173.94044494628906,65.65437316894531,0.06728421151638031,0.15775953233242035,-0.9851825833320618,-0.10206490755081177,-0.9811518788337708,-0.16408473253250122,-27.9261531829834,10.732660293579102,3.051528215408325,0.7546267722831246,0.7554185902622492,0.8624378590120925,0.5403041137529457,0.5709518793185598,0.9890936579334464,0.5833492082536809,0.5658792110999863,0.9862396921420041,0.6591407366170103,0.9997087555787576,0.9956268434691314,0.571055622784303,0.5957335417296465,0.984240100878838,0.6957614191623035,0.5562307621275616,0.9895788254312088,0.581579545916292,0.598091225116767,0.9921792831002735,0.684196255722328,0.5423063935122013,0.7046875700760561,0.7087706181552947,0.7058024792064139,0.5454151360647729,0.5406531456330302,0.879818721764097,59337323459,Left hand
-104.14452362060547,173.9787139892578,65.73043823242188,0.06508611887693405,0.15715038776397705,-0.9854276180267334,-0.10229157656431198,-0.981268584728241,-0.1632433384656906,-20.66129493713379,4.4291863441467285,8.803951263427734,0.7548144257931448,0.7556468067751738,0.8630553500567786,0.5403043321986711,0.5711886445895775,0.9890075838312409,0.5829423581053176,0.5659366219843658,0.9866163334078277,0.6585177252168739,0.9997311562082558,0.9956072657769094,0.5708269519190655,0.5956977615375777,0.9844680465038125,0.6952130302347276,0.5562085874773406,0.9895316680789222,0.5814548422861092,0.5982792210337962,0.9923271210598835,0.6840441079382206,0.5423004389466362,0.7047288231944604,0.7088926771435043,0.704738147156762,0.545336292097455,0.5409384088504723,0.8782978996544976,59337332099,Left hand
-104.3174057006836,174.0279083251953,65.81267547607422,0.06327330321073532,0.15725238621234894,-0.985529363155365,-0.10216549783945084,-0.9812994599342346,-0.16313672065734863,-20.02339744567871,5.697529315948486,9.524353981018066,0.7549137406282207,0.7555324002720173,0.8631598218909076,0.5403034323476402,0.5713469940900824,0.988929053523048,0.5827135142308355,0.5659429187397053,0.9868542815664568,0.6581401666318458,0.999741155266677,0.9956056714983739,0.5708105493539416,0.5955882739743799,0.984490880324429,0.6949891300227565,0.5561911167192116,0.9895176172449848,0.5815025735320786,0.5982908863792376,0.9923555508215791,0.6839044771425024,0.5423008995959797,0.7046845374668991,0.7088303020822321,0.7036993382299906,0.545282469993324,0.5412436789645614,0.8772913662112359,59337340733,Left hand
-104.43338775634766,174.1141357421875,65.86872100830078,0.06244491785764694,0.15745213627815247,-0.9855503439903259,-0.1023937240242958,-0.9812561869621277,-0.1632538139820099,-13.323685646057129,9.905863761901855,6.4380693435668945,0.7549647395561744,0.7551620880579362,0.8626782014481894,0.5403024451447966,0.5713763164595491,0.9889468400943172,0.5824498462777052,0.5659362633696011,0.9869875791211861,0.6577979083989574,0.9997113090214189,0.9956855380618748,0.5707471349055092,0.5955859715366304,0.9843949600670955,0.6948496159736359,0.5561862956655984,0.9896261074354277,0.5814506475229091,0.5982989889291945,0.9923256289782328,0.6836091323479373,0.5423143125620802,0.7034403051829302,0.7034401969259567,0.6860063851021879,0.5403021719027263,0.5444992175895002,0.8737609300370519,59337349438,Left hand
-104.47953796386719,174.1222686767578,65.88379669189453,0.062187310308218,0.15755364298820496,-0.9855504035949707,-0.10330343246459961,-0.981141984462738,-0.16336724162101746,-5.343517780303955,0.9417651891708374,1.7459415197372437,0.7548562245953794,0.7546178236496419,0.8620585454549844,0.5403024045254524,0.571492288978423,0.9891647681821841,0.5817958677642897,0.5661745454605942,0.987160241761897,0.6572862768769802,0.9996374135124803,0.9958722852459875,0.5704189415233218,0.5959765505538729,0.9843031631414757,0.6947739191987425,0.5561989964221605,0.9898757551770602,0.5811658577426225,0.5985264236392358,0.992288303963735,0.6833020483317965,0.542346540696069,0.7034657770282832,0.7034656484464895,0.6859007064030274,0.5403023891889187,0.5444995219266687,0.8738332457647101,59337358074,Left hand
-104.56480407714844,174.20431518554688,65.90825653076172,0.06219709664583206,0.1587119698524475,-0.9853639006614685,-0.10362131893634796,-0.9809131622314453,-0.1645357757806778,-9.83366870880127,9.462286949157715,2.821336507797241,0.754749387533082,0.7538272710551226,0.8609185630092479,0.5403046845149418,0.5713793604148402,0.9896115008819669,0.5805787546073611,0.5666788301231999,0.9874343246703082,0.6564372774400352,0.9995236538024259,0.9961326470999748,0.5698266801853106,0.5966577918430158,0.9842693116272703,0.6946039054630792,0.5562229872341743,0.9902137852853862,0.5807029996967412,0.5988654996715687,0.9922686245615737,0.6828412270935581,0.5423890438186374,0.7039262480267963,0.7039264401900784,0.686195850814197,0.5403021054569629,0.5444993687590757,0.8738105220825253,59337366745,Left hand
-104.52069854736328,174.20159912109375,65.93069458007812,0.0625142827630043,0.15925900638103485,-0.9852555394172668,-0.10455693304538727,-0.9807092547416687,-0.1651582419872284,5.0553693771362305,-0.31167319416999817,2.571758270263672,0.7544829120975302,0.7530482084183114,0.8600271217153519,0.5403083924580783,0.5714352885857212,0.9901345007212298,0.5794408204276542,0.5671724725091938,0.98757880371488,0.6556119837827179,0.9993807237984411,0.9964038731993617,0.5693742813444289,0.597278497997084,0.9840851651345645,0.6946141968851062,0.5562173039285582,0.9905729180373857,0.5803630050124273,0.5991574172390278,0.9921517407533463,0.6825585874478594,0.5424338271621567,0.7045245867573724,0.7045245367626749,0.6866353761187275,0.540302271726182,0.5444993805845357,0.8738787175375172,59337375469,Left hand
-104.47808074951172,174.23794555664062,65.93047332763672,0.06331843137741089,0.15911339223384857,-0.9852277636528015,-0.10539717972278595,-0.9806218147277832,-0.1651431918144226,4.9222564697265625,4.197046756744385,-0.026016132906079292,0.7540846804152503,0.7523666513986637,0.8592547842201665,0.5403111835850898,0.5715350862686184,0.9905118321237396,0.5787517428040608,0.5675227986611628,0.9876002152655754,0.655166426935082,0.9992616368107485,0.996620964177139,0.5690339219108889,0.597860864760391,0.9839017638702956,0.6947978212087275,0.5561999656044669,0.9908799563050543,0.5801280642128123,0.5994053952018161,0.9920207555704555,0.6823807681843076,0.5424697944228561,0.7049057052245562,0.7049056265293606,0.6869499950264648,0.5403022328028614,0.5444992514599621,0.8743762996973826,59337384128,Left hand
