Palm Center x,Palm Center y,Palm Center z,Palm Direction x,Palm Direction y,Palm Direction z,Palm Normal x,Palm Normal y,Palm Normal z,Palm Velocity x,Palm Velocity y,Palm Velocity z,Thumb Deviation 1,Thumb Deviation 2,Thumb Deviation 3,Thumb Joint Angle 1,Thumb Joint Angle 2,Index Deviation 1,Index Deviation 2,Index Deviation 3,Index Joint Angle 1,Index Joint Angle 2,Index Angle from Prev,Middle Deviation 1,Middle Deviation 2,Middle Deviation 3,Middle Joint Angle 1,Middle Joint Angle 2,Middle Angle from Prev,Ring Deviation 1,Ring Deviation 2,Ring Deviation 3,Ring Joint Angle 1,Ring Joint Angle 2,Ring Angle from Prev,Pinky Deviation 1,Pinky Deviation 2,Pinky Deviation 3,Pinky Joint Angle 1,Pinky Joint Angle 2,Pinky Angle from Prev,Time Stamp
-128.6336669921875,170.33570861816406,-2.079261064529419,-0.06424671411514282,0.4189167320728302,-0.9057489037513733,0.9776598811149597,-0.15560056269168854,-0.14131411910057068,-1.3683949708938599,-14.64535140991211,-5.148654937744141,0.6540285215349146,0.5567510270361682,0.602658668143904,0.5974379338837028,0.646935575005128,0.5476046586033095,0.5416169898280244,0.579749498878505,0.5537339449709028,0.567988609654019,0.6835104215145289,0.7736050110794662,0.8646921756740613,0.5675069003359569,0.9671341891919049,0.7489339455027448,0.8296311260608482,0.7579943131758348,0.9097385674193765,0.5985989526206684,0.9498878538049167,0.7532392198183423,0.5423599495559159,0.7125774030253469,0.9685868300188636,0.6833273911555788,0.9340794418104953,0.742475503814068,0.5450336183490463,57364182726,Left hand
-128.63316345214844,170.21217346191406,-2.1295337677001953,-0.06414582580327988,0.4174635410308838,-0.9064267873764038,0.9776308536529541,-0.15602697432041168,-0.1410444974899292,0.05982174351811409,-14.376686096191406,-5.850425720214844,0.6543676882106134,0.5566865884645088,0.6015823615779835,0.5976323102938406,0.6458558997095617,0.5473444348199998,0.5418033811496559,0.5816473836950504,0.5539828305386745,0.5687067348141764,0.6834817672668964,0.7733534527242729,0.8650015241375091,0.5677352529413354,0.9670957552307031,0.7487848764204393,0.8282272964057097,0.7576974036558805,0.9101591538130029,0.5987773738263934,0.9497277031308532,0.753416350557316,0.5423568291249398,0.7122136545667493,0.9689775194368183,0.6840155407972988,0.9337592604145116,0.7423467227767528,0.5450519969052473,57364191319,Left hand
-128.642822265625,170.0953826904297,-2.1733293533325195,-0.06400900334119797,0.41587069630622864,-0.9071683287620544,0.9775871634483337,-0.15656442940235138,-0.14075109362602234,-1.1089669466018677,-13.401150703430176,-5.025297164916992,0.6549683632986523,0.5566815235499221,0.600333423217953,0.5977864877513452,0.6449703374707875,0.5470337165878258,0.5420605370380677,0.5841710015493684,0.5543401123210709,0.5696624124016942,0.6835726720516746,0.7731301748584601,0.8653097709011087,0.567984633001855,0.9670422570768424,0.7485909935492716,0.8266169707000085,0.7573691513854474,0.910616933692227,0.5990475001769172,0.9495647784406506,0.7535096725580366,0.5423632337597845,0.7117586280969191,0.9694579919365766,0.6848886962691946,0.9333935909929452,0.7421961588389867,0.5450873863036201,57364200034,Left hand
-128.66392517089844,170.00714111328125,-2.186140775680542,-0.06347348541021347,0.4139134883880615,-0.9081006050109863,0.9775704145431519,-0.15731209516525269,-0.14003227651119232,-2.4345836639404297,-10.177347183227539,-1.4776912927627563,0.6557288865314999,0.5567393750149815,0.5989450673367492,0.5979509743665777,0.6439963693334555,0.5467317103926957,0.5423601431042144,0.5874325542720349,0.5547784759222927,0.57109323185825,0.6837792745268608,0.7729860806085483,0.8656994111246481,0.568421140069191,0.9668995838537389,0.7480824198594869,0.8251152804090164,0.7570439965941026,0.9111992347057403,0.5994641124200608,0.9493013792960558,0.7535202786007187,0.5423787575629714,0.7113416800433975,0.9700024490522752,0.6858213355479995,0.932894693992355,0.7421112709348975,0.5451144765768592,57364208704,Left hand
-128.69308471679688,169.92950439453125,-2.2092831134796143,-0.06349066644906998,0.41233035922050476,-0.9088193774223328,0.9774819612503052,-0.1579386442899704,-0.13994406163692474,-3.372817039489746,-8.980215072631836,-2.676938533782959,0.6562081019697823,0.556855491337324,0.5975809845723303,0.5978578908267467,0.6429807129245763,0.5464521084188323,0.542681417132974,0.5906956666040345,0.5552334727856505,0.5724938118656889,0.6837072855167976,0.7730959378444499,0.8658236748780243,0.5687561205630008,0.9667751198472346,0.7475182135313457,0.823967217560174,0.7569535928736483,0.9115548855331556,0.5997767593164505,0.9490594598397324,0.7534158149268256,0.5423936660563385,0.7112056690846794,0.9703390572831492,0.6864332934759623,0.9324539791835528,0.7419924230207928,0.545121419677858,57364217349,Left hand
-128.71092224121094,169.8778533935547,-2.17318058013916,-0.06347539275884628,0.4106455147266388,-0.9095829725265503,0.9774829149246216,-0.15820400416851044,-0.13963748514652252,-1.7362769842147827,-5.030088424682617,3.51567006111145,0.6565109985954963,0.5569207167633129,0.5962929354024563,0.5977878010795016,0.6418037828774323,0.5462301855410464,0.5429920283245663,0.5938539601821943,0.5557006886785788,0.5738859891746069,0.6835185942743177,0.7730789791255387,0.8659201598139237,0.5690990703550336,0.9667353072820014,0.7469139112807966,0.8229732057469843,0.7566577911587029,0.9119972061301721,0.600169563483283,0.9488858146904727,0.7532960129958158,0.542417906875106,0.7108333990005984,0.9708065171751578,0.6873458852236886,0.9320156253322013,0.7417862746144603,0.5451455615646628,57364227618,Left hand
-128.7207794189453,169.82208251953125,-2.145256996154785,-0.06305471062660217,0.4091264307498932,-0.9102964997291565,0.9775424599647522,-0.15845830738544464,-0.13893070816993713,-1.3943068981170654,-7.881808757781982,3.946810245513916,0.6566235710151811,0.5569866918833036,0.5955892889141493,0.5976255334838638,0.641278904488685,0.546114364365121,0.5431854747153672,0.5962941780766939,0.5560297406552877,0.5751346562769214,0.6833172178289321,0.7731490516508149,0.8658382671772754,0.5692884171740458,0.9667513148467726,0.7464446844642684,0.8225680333204762,0.7564319139381416,0.9122460886207655,0.60036321697903,0.9488169164365715,0.7532526233598283,0.5424415206449892,0.7105540514610537,0.9711132588741577,0.6877974100735134,0.9317298924540525,0.7418095000367272,0.5451616980387903,57364234693,Left hand
-128.74168395996094,169.80838012695312,-2.128760814666748,-0.06276323646306992,0.40763092041015625,-0.9109872579574585,0.9776501655578613,-0.15840215981006622,-0.13823476433753967,-2.115614175796509,-1.3879863023757935,1.6703333854675293,0.6568560110406471,0.5571051251169913,0.5945457642505859,0.5973925753556657,0.640548703028748,0.5459935667481901,0.5434081988827613,0.5992672865125406,0.5564049165345527,0.5767197133749766,0.6832046222442009,0.7732695575188264,0.8654071251099106,0.569247888759298,0.9669438502413761,0.7460960724234079,0.8221854252996565,0.7562093161900824,0.9122712865933427,0.600291558428958,0.9489230866897396,0.7533556304313487,0.5424673152640113,0.7102385867041814,0.9713363339756448,0.6879557514318022,0.931563542430087,0.741982260728501,0.5451840353706526,57364244569,Left hand
-128.79751586914062,169.78610229492188,-2.117375135421753,-0.06267500668764114,0.40630605816841125,-0.9115850329399109,0.9779004454612732,-0.15753716230392456,-0.1374509483575821,-7.457663536071777,-2.9741907119750977,1.5205066204071045,0.6571626072302187,0.5573635726234863,0.5937138025490789,0.5970520997705779,0.6401304947519582,0.5459156942325228,0.5435416506322015,0.6013247074918072,0.5566337671376542,0.5778835576366661,0.6832287655113453,0.7736005529729423,0.865040148543541,0.5692776349497581,0.9669842393336594,0.7456611258522489,0.8222379426205001,0.7561728093623495,0.9122982976663686,0.6002777927449641,0.9489086558901336,0.7533738923126527,0.5424941246206507,0.7101102933155575,0.9714898182297191,0.6879389081558835,0.9313403171825648,0.7422148286006878,0.5452030126688153,57364252057,Left hand
-128.8268280029297,169.7822723388672,-2.0761935710906982,-0.06273690611124039,0.40456539392471313,-0.912354588508606,0.9781654477119446,-0.1565561294555664,-0.13668398559093475,-3.37325119972229,-0.44222426414489746,4.739514350891113,0.6571491421643824,0.5575781034141273,0.5928902869701793,0.5966337430143848,0.6394207880591194,0.5457942325254956,0.5437293521269366,0.603913748647376,0.5568915034968912,0.5792998271841443,0.6829122636940311,0.7736958606496429,0.8649093613568662,0.5693326012753658,0.9670137734591142,0.7454219962480746,0.8218203215205878,0.7560115862896604,0.9124912477815476,0.600331531140393,0.9488375965645844,0.7534813716455646,0.5425101780624132,0.7099097400345102,0.9717011824150555,0.6879934649805344,0.9310927396291157,0.7424832982535109,0.5452158820963281,57364260746,Left hand
