Palm Normal x,Palm Normal y,Palm Normal z,Palm Direction x,Palm Direction y,Palm Direction z,Palm Center x,Palm Center y,Palm Center z,Palm Velocity x,Palm Velocity y,Palm Velocity z,Thumb Deviation 1,Thumb Deviation 2,Thumb Deviation 3,Thumb Joint Angle 1,Thumb Joint Angle 2,Index Deviation 1,Index Deviation 2,Index Deviation 3,Index Joint Angle 1,Index Joint Angle 2,Middle Deviation 1,Middle Deviation 2,Middle Deviation 3,Middle Joint Angle 1,Middle Joint Angle 2,Ring Deviation 1,Ring Deviation 2,Ring Deviation 3,Ring Joint Angle 1,Ring Joint Angle 2,Pinky Deviation 1,Pinky Deviation 2,Pinky Deviation 3,Pinky Joint Angle 1,Pinky Joint Angle 2
-89.32880401611328,213.41641235351562,63.45085906982422,-0.01631343923509121,0.38330498337745667,-0.9234777688980103,-0.11034117639064789,-0.9186495542526245,-0.37935179471969604,8.810379028320312,0.06101732328534126,-6.521773338317871,0.6396347307774661,0.693430555400236,0.8736643259556988,0.6342805243386354,0.6540945906879732,0.5847914545067091,0.6605941094766421,0.6935009305289573,0.5616643514356462,0.5429819646458587,0.5961484786709341,0.82040145913104,0.8807357763330654,0.6573079543972512,0.5483675117896755,0.9994043548983769,0.5658823894326966,0.6396453365531611,0.990644546675719,0.6964382911543172,0.9876761907289645,0.6139133769079308,0.6276397682074765,0.990907794846644,0.703137116195672
-89.2247314453125,213.379638671875,63.47139358520508,-0.014982459135353565,0.3826930522918701,-0.9237540364265442,-0.11257091909646988,-0.9186297059059143,-0.37874433398246765,11.53066349029541,-4.073376655578613,2.275075912475586,0.6392632510218482,0.6925085594007764,0.8717798848655006,0.6327426797569642,0.6531436296503929,0.5846179047365396,0.6619365219794139,0.6973989572480938,0.5624255571337197,0.5433736225735073,0.5962114264743821,0.8252664198099403,0.8626917476178554,0.6613650273384666,0.5433371013891637,0.9992646321830072,0.5656929271074171,0.6380893883784564,0.9913379357132723,0.6939237633920813,0.9872348113204217,0.6139776281218803,0.6269594660829,0.9912334612957047,0.7022969538699978
-89.14498901367188,213.36061096191406,63.42557907104492,-0.014592497609555721,0.383673757314682,-0.9233534336090088,-0.1114107072353363,-0.9183254241943359,-0.37982377409935,9.477136611938477,-2.262629508972168,-5.444787502288818,0.6393463126133574,0.6923870763234283,0.8714518205659075,0.632863509569193,0.6530023721075561,0.5850528051371415,0.6634804659866016,0.699560584442385,0.5628439801417091,0.543457159326623,0.5965756991374942,0.8297544479626513,0.8508641937858723,0.6649946638968931,0.5412594471158569,0.9992914453987591,0.5656806350942424,0.6390889524163387,0.9913383305770971,0.6947782193525821,0.9873284784258384,0.6140197891521827,0.6275737803138534,0.9911745974261618,0.7031285070985485
-89.07295227050781,213.37155151367188,63.377925872802734,-0.014572898857295513,0.3854142129421234,-0.9226285815238953,-0.11001358181238174,-0.9177425503730774,-0.381635457277298,8.335041999816895,1.2664209604263306,-5.513667106628418,0.6394403412340789,0.6923746406270588,0.8714354444697342,0.633261858863379,0.6530342534328999,0.5857004293375976,0.6652941398302233,0.7013363024567152,0.5632408427662542,0.543428031158939,0.596831466175463,0.8354314717380023,0.83543141644824,0.6699229891181754,0.5403022995650059,0.9993369289433083,0.5654808186102637,0.6402299787442223,0.9913868839405546,0.6954885221717675,0.987467275387927,0.6138053060205005,0.6282853922541028,0.9911734034371106,0.7039204661568855
-88.98097229003906,213.34735107421875,63.30255126953125,-0.014160552993416786,0.3871104419231415,-0.9219245910644531,-0.1089913547039032,-0.9171208143234253,-0.3834192752838135,10.640438079833984,-2.8002710342407227,-8.719625473022461,0.6396385760837964,0.6925848344041143,0.8719574591763257,0.633898123343813,0.6534054536584484,0.5865641944541576,0.6673736091959147,0.7028445456681984,0.5636134025434343,0.5433092348081099,0.5968729201023701,0.8398895272604949,0.8398894574617556,0.6740886987030069,0.540302096851823,0.9993662579721316,0.5653664555126879,0.6414232439027059,0.9914534630439661,0.6963299423650643,0.9875732652269873,0.6136981336841659,0.6289217975513751,0.9911679161300883,0.7046233933757342
-88.8862075805664,213.3163604736328,63.245452880859375,-0.013577372767031193,0.3889041841030121,-0.9211781620979309,-0.10847639292478561,-0.9163985848426819,-0.38528749346733093,10.960904121398926,-3.583317756652832,-6.604038715362549,0.6398279815269902,0.6927770170459222,0.8726022638994604,0.6345344595231395,0.6539352816561752,0.587463391646226,0.669616186188999,0.7042346964034002,0.5640447933920337,0.5431475586604714,0.5968731157320488,0.8423067481284662,0.8423069594856346,0.676454730133226,0.5403023211485659,0.9994044131570275,0.5651718061388222,0.642582611393408,0.9915532239759657,0.6969004015694974,0.9877074330489186,0.6135352993522237,0.6295761295313773,0.9911812399539592,0.7051775709504873
-88.78545379638672,213.2597198486328,63.175621032714844,-0.013333226554095745,0.3901651203632355,-0.9206483364105225,-0.10743970423936844,-0.9159587025642395,-0.38662171363830566,11.590083122253418,-6.51629638671875,-8.033348083496094,0.6399131522152947,0.6929234823569305,0.8729953191443169,0.6351387476737492,0.6541694551268985,0.5878823348947424,0.6710458976431585,0.705556624755133,0.5644348975109907,0.543115614316028,0.596863289048818,0.8430741740886083,0.8430742377269864,0.6772984696935437,0.540302379592686,0.9994214454676003,0.5651875111791556,0.6433782888777987,0.9915650879579618,0.6975335335177073,0.98779097376657,0.6135801211181663,0.6300863806529493,0.9911458552548867,0.7057290226811055
-88.66880798339844,213.17510986328125,63.12744903564453,-0.013102731667459011,0.3916984796524048,-0.9200003147125244,-0.10623040050268173,-0.915417492389679,-0.38823434710502625,12.734116554260254,-9.237393379211426,-5.2588677406311035,0.6400555206649966,0.6928990797644703,0.8732000970993732,0.6355643815135761,0.6544921070191361,0.5884404084676782,0.6732189110619241,0.7072298966955841,0.56508895628579,0.5430158050377832,0.5969669865587204,0.8426602889666914,0.8426604125351272,0.6768787117101075,0.5403021652783195,0.9994340883766424,0.5652744016326825,0.6440983016452765,0.9915721608223008,0.6980895313318468,0.9878796579910093,0.6137986284838823,0.6306618692735739,0.991084507906274,0.7062605071520422
-88.55113983154297,213.11093139648438,63.07976150512695,-0.012684895657002926,0.39381343126296997,-0.9191028475761414,-0.10510864108800888,-0.9146096110343933,-0.390437513589859,14.471567153930664,-7.892154216766357,-5.865072250366211,0.6402014981510024,0.6929624473942093,0.873689053380275,0.6360173219644533,0.6550158125616548,0.5892413332457784,0.6764321914770979,0.7091970616974747,0.5660829101364561,0.5427977977817166,0.5970106984367984,0.8410237986199497,0.8410242165816797,0.6753559141326817,0.5403022821641305,0.9994387907986243,0.5653199117462141,0.6447840478781415,0.9916916111927206,0.6982844816312439,0.9879356575281782,0.6140666757345994,0.63122113927646,0.9910999459837178,0.7064352940125017
-88.43550109863281,213.067138671875,63.023460388183594,-0.01210190262645483,0.39603111147880554,-0.9181573390960693,-0.10375594347715378,-0.9137653708457947,-0.39276912808418274,13.234098434448242,-5.011366367340088,-6.4431610107421875,0.6403320520125677,0.6931468691987522,0.8746307009505311,0.6366538152430397,0.6558441268187342,0.5902766719189948,0.6802419976751471,0.7116511315253169,0.5672107049662459,0.542571274752363,0.5970866679817711,0.8391966378161606,0.8391964460910555,0.6735878457084954,0.5403022767588539,0.9994458743498491,0.5653201109141524,0.6455564641793531,0.9919045664439944,0.6981686415045607,0.9880015780094046,0.6143378763216103,0.6318206377435894,0.9911595330920121,0.7063794531111504
